main_reference_number,supplement_reference_number,citation_key,title,venue,year,publication_url,bibtex_status,bibtex_source
139,,yin-etal-2026-reasoning,The Reasoning Trap: How Enhancing LLM Reasoning Amplifies Tool Hallucination,ACL,2026,https://aclanthology.org/2026.acl-long.376/,source export,acl_anthology
140,,zhang2025agent,Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,ICLR,2025,https://openreview.net/forum?id=V4y0CpX4hK,source export,openreview
141,,agnihotri2026multiobjective,Multi-Objective Preference Optimization: Improving Human Alignment of Generative Models,ICML,2026,https://openreview.net/forum?id=AFqHVyanzY,source export,openreview
142,,el-etal-2025-inefficiencies,Inefficiencies of Meta Agents for Agent Design,Findings of EMNLP,2025,https://aclanthology.org/2025.findings-emnlp.1135/,source export,review40_official.bib
143,,alazraki2026scaling,Scaling Small Agents Through Strategy Auctions,ICML,2026,https://openreview.net/forum?id=elXuA5wTWV,source export,openreview
144,,yuksekgonul2026learning,Learning to Discover at Test Time,ICML,2026,https://openreview.net/forum?id=96zNuQrH9Y,source export,openreview
145,,tang2024code,Code Repair with LLMs gives an Exploration-Exploitation Tradeoff,NeurIPS,2024,https://openreview.net/forum?id=o863gX6DxA,source export,openreview
146,,wang2026depth,Depth over Fidelity in Fixed-Budget Noisy Evolution Strategies,ICML,2026,https://openreview.net/forum?id=woocESr6ga,source export,review40_official.bib
147,,pmlr-v235-huang24y,MLAgentBench: Evaluating Language Agents on Machine Learning Experimentation,ICML,2024,https://proceedings.mlr.press/v235/huang24y.html,source export,pmlr
148,,chan2025mlebench,MLE-Bench: Evaluating Machine Learning Agents on Machine Learning Engineering,ICLR,2025,https://openreview.net/forum?id=6s5uXNWGIh,source export,openreview
149,,ursekar2026vero,VeRO: A Harness for Agents to Optimize Agents,ICML,2026,https://openreview.net/forum?id=zQzmwG2Nue,source export,openreview
150,,ICLR2024_edac78c3,SWE-bench: Can Language Models Resolve Real-world Github Issues?,ICLR,2024,https://proceedings.iclr.cc/paper_files/paper/2024/file/edac78c3e300629acfe6cbe9ca88fb84-Paper-Conference.pdf,source export,https://proceedings.iclr.cc/paper_files/paper/2024/hash/edac78c3e300629acfe6cbe9ca88fb84-Abstract-Conference.html
151,,tian-etal-2024-debugbench,DebugBench: Evaluating Debugging Capability of Large Language Models,Findings of ACL,2024,https://aclanthology.org/2024.findings-acl.247/,source export,acl_anthology
152,,gautam2025refactorbench,RefactorBench: Evaluating Stateful Reasoning in Language Agents Through Code,ICLR,2025,https://openreview.net/forum?id=NiNIthntx7,source export,openreview
153,,shirali2023a,A Theory of Dynamic Benchmarks,ICLR,2023,https://openreview.net/forum?id=i8L9qoeZOS,source export,review40_official.bib
154,,jain2025livecodebench,LiveCodeBench: Holistic and Contamination Free Evaluation of Large Language Models for Code,ICLR,2025,https://openreview.net/forum?id=chfJJYC3iL,source export,openreview
155,,safarzadeh-etal-2026-spence,SPENCE: A Syntactic Probe for Detecting Contamination in NL2SQL Benchmarks,ACL,2026,https://aclanthology.org/2026.acl-long.926/,source export,acl_anthology
156,,gupta2026position,Position: ICML Should Treat Hosted LLM APIs as Versioned Dependencies and Require Drift-Audit Artifacts,ICML,2026,https://openreview.net/forum?id=ivW5cQd53r,source export,openreview
157,,zhou2026creditbudgeted,Credit-Budgeted ICPC-Style Coding: When LLM Agents Must Pay for Every Decision,ICLR,2026,https://openreview.net/forum?id=WC2g3zDF2o,source export,openreview
,20,luo-etal-2024-amr,AMR-Evol: Adaptive Modular Response Evolution Elicits Better Knowledge Distillation for Large Language Models in Code Generation,EMNLP,2024,https://aclanthology.org/2024.emnlp-main.66/,source export,acl_anthology
,22,Yan20253cmath,S^3cMath: Spontaneous Step-Level Self-Correction Makes Large Language Models Better Mathematical Reasoners,AAAI,2025,https://doi.org/10.1609/aaai.v39i24.34749,source export,meta
,26,pattnaik-etal-2024-enhancing,Enhancing Alignment using Curriculum Learning & Ranked Preferences,Findings of EMNLP,2024,https://aclanthology.org/2024.findings-emnlp.754/,source export,acl_anthology
,29,yan-etal-2025-towards,Towards Efficient CoT Distillation: Self-Guided Rationale Selector for Better Performance with Fewer Rationales,Findings of EMNLP,2025,https://aclanthology.org/2025.findings-emnlp.413/,source export,acl_anthology
,35,kim-etal-2024-auto,Auto-Intent: Automated Intent Discovery and Self-Exploration for Large Language Model Web Agents,Findings of EMNLP,2024,https://aclanthology.org/2024.findings-emnlp.964/,source export,acl_anthology
,36,zhang-etal-2025-evolvesearch,EvolveSearch: An Iterative Self-Evolving Search Agent,EMNLP,2025,https://aclanthology.org/2025.emnlp-main.663/,source export,acl_anthology
,38,chen2026learn,Learn from Your Mistakes: Tree-like Self-Play for Secure Code LLMs,ICML,2026,https://openreview.net/forum?id=sfi4R7lsIP,source export,openreview
,39,zhang-etal-2026-agentv,AgentV-RL: Scaling Reward Modeling with Agentic Verifier,Findings of ACL,2026,https://aclanthology.org/2026.findings-acl.1156/,source export,acl_anthology
,40,chan-etal-2025-boosting,Boosting Policy and Process Reward Models with Monte Carlo Tree Search in Open-Domain QA,Findings of ACL,2025,https://aclanthology.org/2025.findings-acl.388/,source export,acl_anthology
,41,hu-etal-2024-serts,SeRTS: Self-Rewarding Tree Search for Biomedical Retrieval-Augmented Generation,Findings of EMNLP,2024,https://aclanthology.org/2024.findings-emnlp.71/,source export,acl_anthology
,43,ziakas2026vita,VITA: Zero-Shot Value Functions via Test-Time Adaptation of Vision–Language Models,ICLR,2026,https://openreview.net/forum?id=V35oo1SVGH,source export,openreview
,47,Han2026uncertainty,Uncertainty-Based Methods for Automated Process Reward Data Construction and Output Aggregation in Mathematical Reasoning,AAAI,2026,https://doi.org/10.1609/aaai.v40i37.40351,source export,meta
,51,DBLP:conf/iclr/ZhouMHPPCB23,Large Language Models are Human-Level Prompt Engineers,ICLR 2023,2023,https://openreview.net/forum?id=92gvk82DE-,source export,https://openreview.net/forum?id=YVozFftExy
,54,wan-etal-2023-universal,Universal Self-Adaptive Prompting,EMNLP,2023,https://aclanthology.org/2023.emnlp-main.461/,source export,acl_anthology
,55,li-etal-2026-learning,Learning from Contrastive Prompts: An Automated Prompt Optimization Framework,Findings of ACL,2026,https://aclanthology.org/2026.findings-acl.9/,source export,acl_anthology
,56,singla-etal-2024-dynamic,Dynamic Rewarding with Prompt Optimization Enables Tuning-free Self-Alignment of Language Models,EMNLP,2024,https://aclanthology.org/2024.emnlp-main.1220/,source export,acl_anthology
,57,zhao2025pareto,Pareto Prompt Optimization,ICLR,2025,https://openreview.net/forum?id=HGCk5aaSvE,source export,openreview
,60,gao2024strategyllm,"StrategyLLM: Large Language Models as Strategy Generators, Executors, Optimizers, and Evaluators for Problem Solving",NeurIPS,2024,https://openreview.net/forum?id=UkxJd64mki,source export,openreview
,61,liu-etal-2026-adaptive,Adaptive Prompt Structure Factorization: A Framework for Self-Discovering and Optimizing Compositional Prompt Programs,ACL,2026,https://aclanthology.org/2026.acl-long.537/,source export,acl_anthology
,64,zheng-etal-2026-meddcr,MedDCR: Learning to Design Agentic Workflows for Medical Coding,Findings of ACL,2026,https://aclanthology.org/2026.findings-acl.627/,source export,acl_anthology
,69,Liu_2024_CVPR,Language Models as Black-Box Optimizers for Vision-Language Models,CVPR,2024,https://openaccess.thecvf.com/content/CVPR2024/html/Liu_Language_Models_as_Black-Box_Optimizers_for_Vision-Language_Models_CVPR_2024_paper.html,source export,cvf
,72,lin2026can,Can Language Models Discover Scaling Laws?,ICLR,2026,https://openreview.net/forum?id=TPTtWC0pGk,source export,openreview
,73,zhang2025adaptive,Adaptive Self-improvement LLM Agentic System for ML Library Development,ICML,2025,https://openreview.net/forum?id=gdsZ3uMPsY,source export,openreview
,76,zhao2024empowering,Empowering Large Language Model Agents through Action Learning,COLM,2024,https://openreview.net/forum?id=KqK5XcgEhR,source export,openreview
,78,wu2026transductive,Transductive Visual Programming: Evolving Tool Libraries from Experience for Spatial Reasoning,ICLR,2026,https://openreview.net/forum?id=XCW1l9qcxy,source export,openreview
,79,Huang2026meta,META: Meta Evolution of Tool Trajectory Adaptation for Long-Video Understanding,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/papers/Huang_META_Meta_Evolution_of_Tool_Trajectory_Adaptation_for_Long-Video_Understanding_CVPR_2026_paper.pdf,source export,meta
,80,ai-etal-2026-tooldna,ToolDNA: Autonomous Evolution of Tool Metadata for Robust Dialogue Agents,Findings of ACL,2026,https://aclanthology.org/2026.findings-acl.931/,source export,acl_anthology
,87,zhang-etal-2024-agent,Agent-Pro: Learning to Evolve via Policy-Level Reflection and Optimization,ACL,2024,https://aclanthology.org/2024.acl-long.292/,source export,acl_anthology
,92,wang2025vlrethinker,VL-Rethinker: Incentivizing Self-Reflection of Vision-Language Models with Reinforcement Learning,NeurIPS,2025,https://openreview.net/forum?id=4oYxzssbVg,source export,openreview
,93,Liu2026failure,From Failure to Feedback: Group Revision Unlocks Hard Cases in Object-Level Grounding,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/papers/Liu_From_Failure_to_Feedback_Group_Revision_Unlocks_Hard_Cases_in_CVPR_2026_paper.pdf,source export,meta
,95,du2025afterburner,Afterburner: Reinforcement Learning Facilitates Self-Improving Code Efficiency Optimization,NeurIPS,2025,https://openreview.net/forum?id=At8OUlyTOu,source export,openreview
,96,dai2026group,Group Verification-based Policy Optimization for Interactive Coding Agents,ICLR,2026,https://openreview.net/forum?id=RY47Tq0VsV,source export,openreview
,97,brooks2023large,Large Language Models can Implement Policy Iteration,NeurIPS,2023,https://openreview.net/forum?id=LWxjWoBTsr,source export,openreview
,98,park2026posttraining,Post-Training LLMs as Better Decision-Making Agents: A Regret-Minimization Approach,ICML,2026,https://openreview.net/forum?id=dclUuUHjrA,source export,openreview
,101,huang-etal-2024-queryagent,QueryAgent: A Reliable and Efficient Reasoning Framework with Environmental Feedback based Self-Correction,ACL,2024,https://aclanthology.org/2024.acl-long.274/,source export,acl_anthology
,102,li2025testtime,Test-Time Preference Optimization: On-the-Fly Alignment via Iterative Textual Feedback,ICML,2025,https://openreview.net/forum?id=ArifAHrEVD,source export,openreview
,103,guo2025seagent,SE-Agent: Self-Evolution Trajectory Optimization in Multi-Step Reasoning with LLM-Based Agents,NeurIPS,2025,https://openreview.net/forum?id=isATAFP71B,source export,openreview
,104,wu-etal-2024-large,Large Language Models Can Self-Correct with Key Condition Verification,EMNLP,2024,https://aclanthology.org/2024.emnlp-main.714/,source export,acl_anthology
